TableOnFileGroup	Schema Name	Table Name	Data Element	OrdinalPosition	Data Type	Max Len	Prec	Scale	Identity	NOT NULL	References	Default Value
NULL	dbo	Calculations_Including_Estimates_And_Default_Values_List	procedure_code	16	varchar	12	          	          		NOT NULL		
NULL	dbo	Carbon and Extractions_size_fraction	natural_key	1	varchar	10	          	          		NOT NULL		
NULL	dbo	Carbon and Extractions_size_fraction	result_source_key	2	int	          	10	0		NOT NULL		
NULL	dbo	Carbon and Extractions_size_fraction	prep_code	3	varchar	64	          	          				
NULL	dbo	Carbon and Extractions_size_fraction	analyzed_size_frac	4	varchar	128	          	          				
NULL	dbo	Carbon and Extractions_size_fraction	c_tot	5	decimal	          	10	3				
NULL	dbo	Carbon and Extractions_size_fraction	n_tot	6	decimal	          	10	3				
NULL	dbo	Carbon and Extractions_size_fraction	s_tot	7	decimal	          	10	3				
NULL	dbo	Carbon and Extractions_size_fraction	oc	8	decimal	          	10	3				
NULL	dbo	Carbon and Extractions_size_fraction	c_n_ra	9	decimal	          	10	3				
NULL	dbo	Carbon and Extractions_size_fraction	fe_dith	10	decimal	          	10	3				
NULL	dbo	Carbon and Extractions_size_fraction	al_dith	11	decimal	          	10	3				
NULL	dbo	Carbon and Extractions_size_fraction	mn_dith	12	decimal	          	10	3				
NULL	dbo	Carbon and Extractions_size_fraction	al_fe_ox	13	decimal	          	10	3				
NULL	dbo	Carbon and Extractions_size_fraction	optd_ox	14	decimal	          	10	3				
NULL	dbo	Carbon and Extractions_size_fraction	fe_ox	15	decimal	          	10	3				
NULL	dbo	Carbon and Extractions_size_fraction	al_ox	16	decimal	          	10	3				
NULL	dbo	Carbon and Extractions_size_fraction	mn_ox	17	decimal	          	10	3				
NULL	dbo	Carbon and Extractions_size_fraction	si_ox	18	decimal	          	10	3				
