TableOnFileGroup,Schema Name,Table Name,COLUMN_NAME2,column_length,Data Element,OrdinalPosition,Data Type,Max Len,Prec,Scale,Identity,NOT NULL,References,Default Value
FG1,dbo,lab_calculations_including_estimates_and_default_values,water_retention_difference_ws,29,water_retention_difference_ws,56,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,pores_drained_third_bar_ws,26,pores_drained_third_bar_ws,57,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,pores_filled_third_bar_ws,25,pores_filled_third_bar_ws,58,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,weight_pct_2_to_5_mm_ws,23,weight_pct_2_to_5_mm_ws,59,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,weight_pct_less_than_2_mm_ws,28,weight_pct_less_than_2_mm_ws,60,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,volume_pct_gt_2_mm_thirdbarws,29,volume_pct_gt_2_mm_thirdbarws,61,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,volume_pct_gt_250_mm_thirdbarw,30,volume_pct_gt_250_mm_thirdbarw,62,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,volume_pct_75_to_250_mm_third,29,volume_pct_75_to_250_mm_third,63,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,volume_pct_2_to_75_mm_third_ws,30,volume_pct_2_to_75_mm_third_ws,64,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,volume_pct_20_to_75_mm_third_w,30,volume_pct_20_to_75_mm_third_w,65,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,volume_pct_5_to_20_mm_third_ws,30,volume_pct_5_to_20_mm_third_ws,66,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,volume_pct_2_to_5_mm_third_ws,29,volume_pct_2_to_5_mm_third_ws,67,decimal,          ,15,3,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,percent_passing_2_inch_sieve,28,percent_passing_2_inch_sieve,68,decimal,          ,10,0,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,percent_passing_1_and_1_half,28,percent_passing_1_and_1_half,69,decimal,          ,10,0,,,,
FG1,dbo,lab_calculations_including_estimates_and_default_values,percent_passing_1_inch_sieve,28,percent_passing_1_inch_sieve,70,decimal,          ,10,0,,,,
